DISTRICT,IN_TEST,DATE,_1_1,_10_13,_16_1,_16_2_1,_16_2_2,_16_3_1,_16_3_2,_16_3_3,_16_3_4,_16_3_5,_16_7_3,_4_4_2,_4_4_3,_9_1_10,_9_1_11,_9_1_12,_9_1_14,_9_1_15,_9_1_16,_9_1_2,_9_1_3,_9_1_4,_9_1_5,_9_1_6,_9_1_7,_9_1_8,_9_1_9,_9_3_2,_9_4_2,_9_4_4,_9_7_1,_9_7_2,_9_7_3
Samastipur,Yes,Y201504,10039,5,,,,,,,,1,,535,5605,9507,10322,10617,29,1065,3949,7323,20,1027,3900,9066,8643,6489,5501,9330,9930,10541,4228,4228,4030
Samastipur,Yes,Y201505,9877,6,,,,,,,,,,638,5732,8033,10624,10983,17,746,2672,7176,12,599,2584,7949,9413,8101,5525,10641,9515,9466,4404,4404,4228
Samastipur,Yes,Y201506,9024,7,,,,,,,,1,2,695,6423,6459,7578,8920,9,320,1342,7475,7,278,1285,6760,7498,7968,6167,9398,7436,7450,4364,4364,4176
Samastipur,Yes,Y201507,10234,78,1,,,,,,,,,780,9364,7360,7507,8680,5,186,794,11051,6,217,923,7390,7316,7668,9248,10216,8695,8866,4350,4350,4185
Samastipur,Yes,Y201508,9903,78,,,,1,,,,1,,703,10165,7647,7282,7586,2,63,386,11985,0,69,415,7942,7282,7365,10113,9954,7424,7134,4030,4028,3856
Samastipur,Yes,Y201509,9248,92,1,,,,,2,,2,,782,9365,9405,7838,7734,2,27,199,11307,1,35,186,9411,7884,7534,9453,9618,7398,7218,4029,4025,3841
Samastipur,Yes,Y201510,9097,78,1,2,1,,,1,,1,,706,9477,11375,9123,8197,101,94,232,11527,112,107,233,11646,9213,7974,9658,10328,7588,7682,4041,4037,3856
Samastipur,Yes,Y201511,7539,69,1,2,,1,,1,,8,,707,8920,9601,8706,7024,0,9,35,10857,3,18,58,10126,9027,7230,9084,8700,6570,6154,4037,4001,3831
Samastipur,Yes,Y201512,8083,52,2,,,2,1,,,32,,573,8653,10402,9824,8557,0,4,43,10647,3,10,40,10330,9740,8393,8772,8320,7705,7684,4026,4026,3871
Samastipur,Yes,Y201601,8735,47,,1,2,3,1,2,,22,1,574,8986,10543,10404,9689,28,1,33,10596,1,4,25,10650,10516,9619,8678,7391,8405,8390,4037,3989,3820
Samastipur,Yes,Y201602,9325,56,,,,1,,1,,22,,552,8173,10300,9931,9856,1,3,6,9914,0,4,9,10298,10063,9703,8107,7455,8959,9226,4030,4028,3890
Samastipur,Yes,Y201603,9403,48,4,1,1,1,1,1,1,12,2,536,6892,9675,10058,9758,0,1,5,8190,0,1,4,9731,10088,9673,6613,7411,8332,8512,4043,4043,3910
Samastipur,Yes,Y201604,9869,49,6,1,4,2,,2,,7,,602,6466,9296,9040,8931,0,0,16,8044,14,12,17,9666,9362,9249,6452,8199,8882,8776,4188,4185,4055
Samastipur,Yes,Y201605,9833,51,3,,1,,,3,,16,1,595,6068,8029,9569,9147,0,0,0,7378,7,0,1,8091,9681,9300,6114,9357,8997,9240,4201,4199,4025
Samastipur,Yes,Y201606,10312,46,4,,,1,1,,,16,1,579,5878,7176,7930,8673,0,0,0,7200,10,6,1,8181,8851,9885,5968,9889,8811,8154,4172,4172,4023
Samastipur,Yes,Y201607,10027,0,2,1,1,1,,2,,17,,782,8245,7294,7827,8526,0,0,0,9567,38,52,0,7591,7969,8631,8213,9498,7588,7747,4120,4112,3962
Samastipur,Yes,Y201608,9665,2,8,1,,1,,2,,20,,791,10624,7280,7400,8122,0,0,0,11808,12,0,0,7500,7630,7964,10439,9482,6897,6598,4022,3992,3854
